symbol,close,timestamp,low,open,high,volume,date
IDI,2.41,1489968000,2.38,2.4,2.41,427800,2017-03-20
IDI,2.42,1490054400,2.4,2.42,2.43,1046990,2017-03-21
IDI,2.53,1490140800,2.43,2.43,2.58,1520080,2017-03-22
IDI,2.52,1490227200,2.5,2.53,2.57,728180,2017-03-23
IDI,2.65,1490313600,2.51,2.51,2.67,878040,2017-03-24
IDI,2.75,1490572800,2.62,2.65,2.75,1157880,2017-03-27
IDI,2.7,1490659200,2.69,2.76,2.79,657060,2017-03-28
IDI,2.63,1490745600,2.62,2.69,2.7,438320,2017-03-29
IDI,2.65,1490832000,2.64,2.65,2.68,317220,2017-03-30
IDI,2.6,1490918400,2.57,2.65,2.67,360700,2017-03-31
IDI,2.63,1491177600,2.57,2.57,2.65,267080,2017-04-03
IDI,2.65,1491264000,2.63,2.67,2.67,308520,2017-04-04
IDI,2.65,1491350400,2.6,2.65,2.65,527170,2017-04-05
IDI,2.62,1491523200,2.59,2.65,2.65,236680,2017-04-07
IDI,2.62,1491782400,2.59,2.62,2.62,201330,2017-04-10
IDI,2.57,1491868800,2.57,2.63,2.63,255750,2017-04-11
IDI,2.45,1491955200,2.45,2.57,2.6,487060,2017-04-12
IDI,2.45,1492041600,2.43,2.45,2.51,301280,2017-04-13
IDI,2.4,1492128000,2.37,2.45,2.45,210880,2017-04-14
IDI,2.44,1492387200,2.4,2.4,2.48,418720,2017-04-17
IDI,2.42,1492473600,2.34,2.41,2.44,328880,2017-04-18
IDI,2.42,1492560000,2.38,2.42,2.42,317250,2017-04-19
IDI,2.42,1492646400,2.4,2.45,2.45,17630,2017-04-20
IDI,2.4,1492732800,2.38,2.42,2.42,128090,2017-04-21
IDI,2.37,1492992000,2.31,2.4,2.42,158860,2017-04-24
IDI,2.37,1493078400,2.35,2.37,2.4,64920,2017-04-25
IDI,2.38,1493164800,2.37,2.37,2.39,46790,2017-04-26
IDI,2.36,1493251200,2.23,2.38,2.38,124930,2017-04-27
IDI,2.4,1493337600,2.36,2.38,2.41,118820,2017-04-28
IDI,2.56,1493769600,2.47,2.51,2.56,292830,2017-05-03
IDI,2.69,1493856000,2.58,2.58,2.7,383980,2017-05-04
IDI,2.67,1493942400,2.64,2.7,2.7,412630,2017-05-05
IDI,2.85,1494201600,2.85,2.85,2.85,279840,2017-05-08
IDI,3.05,1494288000,3.05,3.05,3.05,277610,2017-05-09
IDI,3.26,1494374400,3.16,3.26,3.26,2986030,2017-05-10
IDI,3.29,1494460800,3.23,3.29,3.37,1326100,2017-05-11
IDI,3.24,1494547200,3.21,3.29,3.3,535870,2017-05-12
IDI,3.46,1494806400,3.24,3.29,3.46,1784580,2017-05-15
IDI,3.46,1494892800,3.23,3.48,3.64,1284370,2017-05-16
IDI,3.4,1494979200,3.34,3.4,3.56,706650,2017-05-17
IDI,3.46,1495065600,3.34,3.4,3.58,807640,2017-05-18
IDI,3.49,1495152000,3.4,3.49,3.49,579120,2017-05-19
IDI,3.44,1495411200,3.42,3.46,3.49,990490,2017-05-22
IDI,3.34,1495497600,3.3,3.4,3.42,594930,2017-05-23
IDI,3.39,1495584000,3.26,3.26,3.51,724030,2017-05-24
IDI,3.35,1495670400,3.35,3.4,3.48,495380,2017-05-25
IDI,3.4,1495756800,3.35,3.4,3.42,239930,2017-05-26
IDI,3.37,1496016000,3.34,3.4,3.42,309230,2017-05-29
IDI,3.41,1496102400,3.36,3.37,3.44,646720,2017-05-30
IDI,3.34,1496188800,3.34,3.41,3.41,848500,2017-05-31
IDI,3.31,1496275200,3.31,3.34,3.4,202340,2017-06-01
IDI,3.33,1496361600,3.31,3.4,3.4,166260,2017-06-02
IDI,3.36,1496620800,3.33,3.33,3.39,187980,2017-06-05
IDI,3.42,1496707200,3.36,3.36,3.45,366720,2017-06-06
IDI,3.67,1496793600,3.44,3.45,3.67,1321570,2017-06-07
IDI,3.79,1496880000,3.72,3.73,3.9,838980,2017-06-08
IDI,3.67,1496966400,3.65,3.8,3.8,667160,2017-06-09
IDI,3.65,1497225600,3.65,3.65,3.78,517720,2017-06-12
IDI,3.61,1497312000,3.56,3.65,3.7,707120,2017-06-13
IDI,3.58,1497398400,3.51,3.59,3.62,284990,2017-06-14
IDI,3.58,1497484800,3.51,3.58,3.59,168880,2017-06-15
IDI,3.58,1497571200,3.53,3.55,3.58,223600,2017-06-16
IDI,3.57,1497830400,3.53,3.54,3.59,388840,2017-06-19
IDI,3.59,1497916800,3.58,3.68,3.68,477610,2017-06-20
IDI,3.55,1498003200,3.52,3.62,3.62,232630,2017-06-21
IDI,3.58,1498089600,3.55,3.55,3.59,396290,2017-06-22
IDI,3.53,1498176000,3.53,3.58,3.58,756180,2017-06-23
IDI,3.6,1498435200,3.54,3.6,3.62,1037430,2017-06-26
IDI,3.62,1498521600,3.57,3.6,3.73,624820,2017-06-27
IDI,3.65,1498608000,3.62,3.64,3.68,760120,2017-06-28
IDI,3.66,1498694400,3.62,3.62,3.73,553960,2017-06-29
IDI,3.62,1498780800,3.59,3.72,3.72,160470,2017-06-30
